Symbol,ShortName,Sector,Industry,MarketCap,AveragePrice,PE_Ratio,DividendYield,Beta,Revenue,ProfitMargins,EBITDA,ForwardEps,TrailingEps,SharesOutstanding
RELIANCE.NS,RELIANCE INDS,Energy,Oil & Gas Refining & Marketing,13529199337640.268,1999.5534984996018,inf,0.0031,0.599,9010640060416,0.07727,0,71.85,102.84,6766110208
RELIANCE.BO,RELIANCE INDUSTRIES LTD.,Energy,Oil & Gas Refining & Marketing,14436502426032.357,2133.648726111964,inf,0.0031,0.599,9010640060416,0.07727,0,0.0,102.86,6766110208
TCS.NS,TATA CONSULTANCY S,Technology,Information Technology Services,10481220922452.758,2896.8933798780718,inf,0.013200001,0.52,2408930082816,0.19057,0,157.27,125.78,3618089984
TCS.BO,TATA CONSULTANCY SERVICES LTD.,Technology,Information Technology Services,10654281448206.475,2944.725392492194,inf,0.013200001,0.52,2408930082816,0.19057,0,0.0,125.79,3618089984
HDFCBANK.NS,HDFC BANK,Financial Services,Banks - Regional,10457126322839.281,1376.4991698033602,inf,0.0127,0.768,2288379494400,0.27995002,0,96.36,88.71,7596899840
INFY.NS,INFOSYS LTD,Technology,Information Technology Services,5088628487867.81,1229.1521369909392,inf,0.0139,0.542,18562000896,0.17062001,0,70.67,63.27,4139950080
HDFCBANK.BO,HDFC BANK LTD.,Financial Services,Banks - Regional,10522056885293.033,1385.046151311774,inf,0.0128,0.768,2288379494400,0.27995002,0,0.0,88.67,7596899840
HINDUNILVR.NS,HINDUSTAN UNILEVER,Consumer Defensive,Household & Personal Products,5266364442418.488,2241.397182723851,inf,0.0189,0.068,618959994880,0.16604,0,0.0,43.63,2349590016
ICICIBANK.NS,ICICI BANK,Financial Services,Banks - Regional,4791811491905.564,682.1423598601209,inf,0.0069,0.814,1582171553792,0.27972,0,37.94,59.52,7024650240
HINDUNILVR.BO,HINDUSTAN UNILEVER LTD.,Consumer Defensive,Household & Personal Products,5361036820159.16,2281.690330505371,inf,0.0216,0.068,618959994880,0.16604,0,33.81,43.65,2349590016
INFY.BO,INFOSYS LTD.,Technology,Information Technology Services,5208130397523.738,1258.0176806198924,inf,0.0139,0.542,18562000896,0.17062001,0,0.0,63.28,4139950080
HDFC.NS,HOUSING DEVEL FIN,,,5058106803712.0,2732.0,inf,0.0,0.719,1143588257792,0.22875999,0,110.9,142.59,1851430016
BAJFINANCE.NS,BAJAJ FINANCE LTD,Financial Services,Credit Services,3451222106405.238,5584.4294999502235,inf,0.0053,0.942,316271198208,0.45692003,0,0.0,236.2,618008000
SBIN.NS,STATE BK OF INDIA,Financial Services,Banks - Regional,3796627183351.5107,425.41101300137717,inf,0.0137,0.808,2960213147648,0.21551001,0,72.3,71.49,8924609536
